,Senator,Planet,Sector,Term,Notes,Species and gender
0,Gial Ackbar,Mon Calamari,Calamari sector,4 ABY–c. 10 ABY,Replaced by Q-Varx,Mon Calamari male
1,"A'Kla, Elegos",Caamas,--,19 ABY–25 ABY,"Murdered by Shedao Shai, replaced by Releqy A'Kla",Caamasi male
2,"A'Kla, Releqy",Caamas,--,25 ABY–c. 35 ABY,,Caamasi female
3,Amamanam,the B'das people,--,c. 16 ABY,,B'das male
4,Amara,--,--,,,Human male
5,"Anglethorn, Darial",Beheboth,Sanbra sector,7 ABY–after 8 ABY,,Human female
6,Arastide,Gantho,--,c. 13 ABY,,Human male
7,Behn-kihl-nahm,--,--,prior to 16 ABY,Elected as Senate Chairman,male
8,"Bel Iblis, Garm",Corellia,Corellian sector,11 ABY–prior to 16 ABY,Replaced by Chelch Dravvad,Human male
9,"Beruss, Doman",Corellia,Corellian sector,4 ABY–c. 10 ABY,Replaced by Garm Bel Iblis,Human female
10,"Beruss, Doman",Illodia,Illodia sector,c. 16 ABY,,Human male
11,"Bogen, Ab'el",Ralltiir,Darpa sector,c. 16 ABY,,Human male
12,Boma (Gungan),Naboo,Chommell sector,c. 13 ABY,,Gungan male
13,"Boras, Fyg",Vortex,Glythe sector,c. 26 ABY–c. 28 ABY,,Vor male
14,"Bramsin, Fost",Coruscant,Coruscant sector,c. 43 ABY,,Human male
15,"B'thog Indriummsegh, Verrinnefra",Elom,Sertar sector,4 ABY–c. 10 ABY,Replaced by Rattagagech,Elomin male
16,Charr,Corellia,Corellian sector,c.40 ABY,,Human male
17,Cilghal,Dac,Calamari sector,c. 13 ABY–c. 24 ABY,Replaced by Pwoe and Gron Marrab,Mon Calamari female
18,C-Gosf,Gosfambling,Lifh sector,c. 17 ABY,,Gosfambling male
19,ChoFï,--,--,c. 6 ABY–c. 17 ABY,,male
20,"Coome, R'yet[4]",Exodeen[5],--,17 ABY—,,Exodeenian male
21,"Cornin, Ala",,--,,,female
22,"Cundertol, Molierre",Bakura,Shiritoku Spur,c. 16 ABY–17 ABY,,Human male
23,"Deega, Nara",Clak'dor VII,Mayagil sector,c. 16 ABY,replaced by E'noro,Bith male
24,Drankin,--,--,c. 16 ABY,,Human male
25,"Dravvad, Chelch",Corellia,Corellian sector,c. 25 ABY–c. 27 ABY,Replaced by Charr,Human male
26,"Drey'lye, Tiurgg",Bothawui,Bothan sector,c. 43 ABY,head of the Senate Unification Preparations Committee,Bothan male
27,"Dru, Dall Thara",Raxxa,--,c. 16 ABY,,Human female
28,"Dx'ono, Ghic",Isht,Ishori Confederene,c. 19 ABY,,Ishori male
29,E'noro,Clak'dor VII,Mayagil sector,c. 26 ABY,,Bith female
30,"Ekhat, Nav",Murkhana,Auril sector,c. 40 ABY,,male
31,"Falanthas, Mokka",--,--,c. 13 ABY–c. 16 ABY,,Human
32,"Feswin, Chau",Elrood,Elrood sector,c. 28 ABY,,Human male
33,"Fey'lya, Borsk",Kothlis,Bothan sector,4 ABY–24 ABY,Elected as President; replaced by Mak Sezala,Bothan male
34,Frammel,--,--,c. 16 ABY,,
35,"G'Sil, G'vli",Coruscant,Coruscant sector,c. 40 ABY,Replaced by Bramsin Fost,Human male
36,"Gadan, Addath",Vannix,--,c. 8 ABY–27 ABY,Exposed as traitor,Human female
37,"Gahan, Gial",Mon Calamari,Calamari sector,c. 130 ABY,Executed by Darth Krayt,Mon Calamari male
38,"Gavrisom, Ponc",the Calibop people,--,prior to 19 ABY,elected as President,Calibop male
39,Gno,--,--,c. 6 ABY–c. 17 ABY,,male
40,"Harbright, Borert",Salliche,--,c. 25 ABY,,Human male
41,"H'aas, Nab",Clak'dor VII,Mayagil sector,c. 41 ABY,,Bith
42,Hodidiji,--,--,c. 16 ABY,,male
43,"Iman, J'mesk",the Tamran people,--,c. 24 ABY,,Tamran male
44,Kvarm Jia,--,Tapani sector,c. 27 ABY,,Human male
45,"Kem, Rokari",Qaras,,c. 44 ABY,elected as President,Jessar female
46,Kerrithrarr[5],Kashyyyk,Mytaranor sector,4 ABY–c. 17 ABY,Voted against former Imperials to serve in the Senate[5],Wookiee male[5]
47,"Korden, Arani",Naboo,Chommell sector,New Republic era[6],,Human female
48,Kybacca[7],--,--,--,Voted against former Imperials to serve in the Senate[7],Wookiee female[7]
49,Lillald,--,--,c. 16 ABY,,Human male
50,M'yet Luure[4],Exodeen[4],--,—17 ABY,murdered; replaced by R'yet Coome[4],Exodeenian male
51,"Marook, Cian",Hrasskis,--,11 ABY–c. 17 ABY,,Hrasskis male
52,"Marrab, Gron",Dac,Calamari sector,c. 25 ABY–c. 29 ABY,,Mon Calamari male
53,Meido,Adin,--,17 ABY—,,male
54,"Miatamia, Potolo",Diamal,--,c. 19 ABY,,Diamal male
55,"Moolis, Umwaw",Ithor,Ottega sector,c. 12 ABY,,Ithorian female
56,"Mothma, Mon",Councilor of Chandrila,Bormea sector,4 ABY–11 ABY,elected as President,Human female
57,"Mulaxis, Muchardis",Ovise III,Moddell sector,prior to 19 ABY,,Ayrou male
58,Navik,Rodia,Savareen sector,c. 25 ABY–c. 29 ABY,replaced by Moog Ulur,Rodian male
59,"Niuv, Niuk",Sullust,Brema sector,c. 25 ABY–c. 29 ABY,,Sullustan male
60,"Noimm, Cair Tok",--,--,c. 16 ABY,,female
61,Nyxy,Rudrig,Tion Hegemony,c. 17 ABY,replaced by Thuv Shinev,
